Drug,ATC Codes
Lepirudin,B01AE02
Cetuximab,L01FE01
Dornase alfa,R05CB13
Denileukin diftitox,L01XX29
Etanercept,L04AB01
Bivalirudin,B01AE06
Leuprolide,"L02AE51, L02AE02"
Peginterferon alfa-2a,"L03AB11, L03AB61"
Alteplase,"B01AD02, S01XA13"
Sermorelin,"V04CD03, H01AC04"
Interferon alfa-n1,L03AB06
Darbepoetin alfa,B03XA02
Urokinase,B01AD04
Goserelin,L02AE03
Reteplase,B01AD07
Erythropoietin,B03XA01
Salmon calcitonin,H05BA01
Interferon alfa-n3,No ATC Code
Pegfilgrastim,L03AA13
Sargramostim,L03AA09
Peginterferon alfa-2b,"L03AB10, L03AB60"
Asparaginase Escherichia coli,L01XX02
Thyrotropin alfa,H01AB01
"Antihemophilic factor, human recombinant",B02BD02
Anakinra,L04AC03
Gramicidin D,R02AB30
Human immunoglobulin G,No ATC Code
Anistreplase,B01AD03
Insulin human,"A10AC01, A10AE01, A10AB01, A10AD01, A10AF01"
Tenecteplase,B01AD11
Menotropins,"G03GA02, G03GA03"
Interferon gamma-1b,No ATC Code
Interferon alfa-2a,L03AB04
Desmopressin,H01BA02
Coagulation factor VIIa Recombinant Human,B02BD08
Oprelvekin,L03AC02
Palifermin,V03AF08
Glucagon,H04AA01
Aldesleukin,L03AC01
Botulinum toxin type B,M03AX01
Omalizumab,R03DX05
Lutropin alfa,G03GA07
Lyme disease vaccine (recombinant OspA),No ATC Code
Insulin lispro,"A10AC04, A10AB04, A10AD04"
Insulin glargine,"A10AE54, A10AE04"
Collagenase clostridium histolyticum,"D03BA02, M09AB02, D03BA52"
Rasburicase,"V03AF07, M04AX01"
Cetrorelix,H01CC02
Adalimumab,L04AB04
Somatotropin,H01AC01
Imiglucerase,A16AB02
Abciximab,B01AC13
Drotrecogin alfa,B01AD10
Gemtuzumab ozogamicin,L01FX02
Indium In-111 satumomab pendetide,V09IB02
Alpha-1-proteinase inhibitor,B02AB02
