Drug,DrugBank ID,ATC Codes,Pathways
Lepirudin,DB00001,B01AE02,Lepirudin Action Pathway
Cetuximab,DB00002,L01FE01,Cetuximab Action Pathway
Dornase alfa,DB00003,R05CB13,No Pathways
Denileukin diftitox,DB00004,L01XX29,No Pathways
Etanercept,DB00005,L04AB01,No Pathways
Bivalirudin,DB00006,B01AE06,Bivalirudin Action Pathway
Leuprolide,DB00007,"L02AE51, L02AE02",No Pathways
Peginterferon alfa-2a,DB00008,"L03AB11, L03AB61",No Pathways
Alteplase,DB00009,"B01AD02, S01XA13",Alteplase Action Pathway
Sermorelin,DB00010,"V04CD03, H01AC04",No Pathways
Interferon alfa-n1,DB00011,L03AB06,No Pathways
Darbepoetin alfa,DB00012,B03XA02,No Pathways
Urokinase,DB00013,B01AD04,Urokinase Action Pathway
Goserelin,DB00014,L02AE03,No Pathways
Reteplase,DB00015,B01AD07,Reteplase Action Pathway
Erythropoietin,DB00016,B03XA01,No Pathways
Salmon calcitonin,DB00017,H05BA01,No Pathways
Interferon alfa-n3,DB00018,No ATC Code,No Pathways
Pegfilgrastim,DB00019,L03AA13,No Pathways
Sargramostim,DB00020,L03AA09,No Pathways
Peginterferon alfa-2b,DB00022,"L03AB10, L03AB60",No Pathways
Asparaginase Escherichia coli,DB00023,L01XX02,No Pathways
Thyrotropin alfa,DB00024,H01AB01,No Pathways
"Antihemophilic factor, human recombinant",DB00025,B02BD02,No Pathways
Anakinra,DB00026,L04AC03,No Pathways
Gramicidin D,DB00027,R02AB30,No Pathways
Human immunoglobulin G,DB00028,No ATC Code,No Pathways
Anistreplase,DB00029,B01AD03,Anistreplase Action Pathway
Insulin human,DB00030,"A10AC01, A10AE01, A10AB01, A10AD01, A10AF01",No Pathways
Tenecteplase,DB00031,B01AD11,Tenecteplase Action Pathway
Menotropins,DB00032,"G03GA02, G03GA03",No Pathways
Interferon gamma-1b,DB00033,No ATC Code,No Pathways
Interferon alfa-2a,DB00034,L03AB04,No Pathways
Desmopressin,DB00035,H01BA02,No Pathways
Coagulation factor VIIa Recombinant Human,DB00036,B02BD08,No Pathways
Oprelvekin,DB00038,L03AC02,No Pathways
Palifermin,DB00039,V03AF08,No Pathways
Glucagon,DB00040,H04AA01,No Pathways
Aldesleukin,DB00041,L03AC01,No Pathways
Botulinum toxin type B,DB00042,M03AX01,No Pathways
Omalizumab,DB00043,R03DX05,No Pathways
Lutropin alfa,DB00044,G03GA07,No Pathways
Lyme disease vaccine (recombinant OspA),DB00045,No ATC Code,No Pathways
Insulin lispro,DB00046,"A10AC04, A10AB04, A10AD04",No Pathways
Insulin glargine,DB00047,"A10AE54, A10AE04",No Pathways
Collagenase clostridium histolyticum,DB00048,"D03BA02, M09AB02, D03BA52",No Pathways
Rasburicase,DB00049,"V03AF07, M04AX01",No Pathways
Cetrorelix,DB00050,H01CC02,No Pathways
Adalimumab,DB00051,L04AB04,No Pathways
Somatotropin,DB00052,H01AC01,No Pathways
