DrugBank ID,First letter ATC Codes,group,chembl_id
DB00001,B,0.0,CHEMBL1201666
DB00002,L,1.0,CHEMBL1201577
DB00003,R,2.0,CHEMBL1201431
DB00004,L,1.0,CHEMBL1201550
DB00005,L,1.0,CHEMBL1201572
DB00006,B,0.0,CHEMBL2103749
DB00007,L,1.0,CHEMBL1201199
DB00008,L,1.0,CHEMBL1201560
DB00009,B,0.0,CHEMBL1201593
DB00010,V,3.0,CHEMBL428135
DB00011,L,1.0,CHEMBL2108509
DB00012,B,0.0,CHEMBL1201566
DB00013,B,0.0,CHEMBL1201420
DB00014,L,1.0,CHEMBL1201247
DB00015,B,0.0,CHEMBL2107885
DB00016,B,0.0,CHEMBL1201565
DB00017,H,4.0,
DB00018,No ATC Code,5.0,CHEMBL2109047
DB00019,L,1.0,CHEMBL1201568
DB00020,L,1.0,CHEMBL1201670
DB00022,L,1.0,CHEMBL1201561
DB00023,L,1.0,CHEMBL2108989
DB00024,H,4.0,CHEMBL1201533
DB00025,B,0.0,CHEMBL2108175
DB00026,L,1.0,CHEMBL1201570
DB00027,R,2.0,CHEMBL557217
DB00028,No ATC Code,5.0,
DB00029,B,0.0,CHEMBL2108250
DB00030,A,6.0,
DB00031,B,0.0,CHEMBL2108791
DB00032,G,7.0,CHEMBL2108427
DB00033,No ATC Code,5.0,CHEMBL1201564
DB00034,L,1.0,
DB00035,H,4.0,CHEMBL1429
DB00036,B,0.0,
DB00038,L,1.0,CHEMBL1201573
DB00039,V,3.0,CHEMBL1201821
DB00040,H,4.0,CHEMBL266481
DB00041,L,1.0,CHEMBL1201438
DB00042,M,8.0,CHEMBL1201569
DB00043,R,2.0,CHEMBL1201589
DB00044,G,7.0,CHEMBL1201419
DB00045,No ATC Code,5.0,
DB00046,A,6.0,CHEMBL1201538
DB00047,A,6.0,CHEMBL1201497
DB00048,D,9.0,
DB00049,V,3.0,CHEMBL1201594
DB00050,H,4.0,CHEMBL1200490
DB00051,L,1.0,CHEMBL1201580
DB00052,H,4.0,CHEMBL1201621
DB00053,A,6.0,CHEMBL1201632
DB00054,B,0.0,CHEMBL1201584
DB00055,B,0.0,
DB00056,L,1.0,CHEMBL1201506
DB00057,V,3.0,CHEMBL1743091
DB00058,B,0.0,
DB00059,L,1.0,CHEMBL2108546
DB00060,L,1.0,CHEMBL1201562
DB00061,L,1.0,CHEMBL1201514
DB00062,B,0.0,CHEMBL1201451
DB00063,B,0.0,CHEMBL1174
DB00065,L,1.0,CHEMBL1201581
DB00066,G,7.0,CHEMBL1201692
DB00067,No ATC Code,5.0,CHEMBL373742
DB00068,L,1.0,CHEMBL1201563
DB00069,L,1.0,CHEMBL1201557
DB00070,No ATC Code,5.0,CHEMBL1201636
DB00071,A,6.0,
DB00072,L,1.0,CHEMBL1201585
DB00073,L,1.0,CHEMBL1201576
DB00074,L,1.0,CHEMBL1201439
DB00075,L,1.0,CHEMBL1201608
DB00076,V,3.0,a:Q908009
DB00078,V,3.0,
DB00080,J,10.0,CHEMBL387675
DB00081,V,3.0,CHEMBL1201604
DB00082,H,4.0,CHEMBL1201515
DB00083,M,8.0,
DB00085,A,6.0,CHEMBL2108074
DB00086,B,0.0,CHEMBL2108147
DB00087,L,1.0,CHEMBL1201587
DB00088,A,6.0,CHEMBL1201633
DB00089,V,3.0,CHEMBL2108285
DB00090,A,6.0,CHEMBL1201595
DB00091,L,1.0,CHEMBL160
DB00092,L,1.0,CHEMBL1201571
DB00093,No ATC Code,5.0,CHEMBL3185126
DB00094,G,7.0,CHEMBL1201520
DB00095,L,1.0,CHEMBL1201575
DB00097,G,7.0,CHEMBL1201464
DB00098,L,1.0,a:Q20801777
DB00099,L,1.0,CHEMBL1201567
DB00100,No ATC Code,5.0,
DB00102,D,9.0,CHEMBL1201556
DB00103,A,6.0,CHEMBL2108888
DB00104,H,4.0,CHEMBL1680
DB00105,L,1.0,
DB00106,L,1.0,CHEMBL1252
DB00107,G,7.0,CHEMBL395429
DB00108,L,1.0,CHEMBL1201607
DB00109,J,10.0,CHEMBL525076
DB00110,J,10.0,CHEMBL1201586
DB00111,L,1.0,CHEMBL1201605
DB00112,L,1.0,CHEMBL1201583
DB00113,V,3.0,CHEMBL2108253
DB00114,A,6.0,CHEMBL82202
DB00115,B,0.0,CHEMBL2110563
DB00116,No ATC Code,5.0,CHEMBL2021342
DB00117,No ATC Code,5.0,CHEMBL17962
DB00118,A,6.0,CHEMBL1088977
DB00119,No ATC Code,5.0,CHEMBL1162144
DB00120,No ATC Code,5.0,CHEMBL301523
DB00121,A,6.0,CHEMBL857
DB00122,No ATC Code,5.0,CHEMBL920
DB00123,V,3.0,CHEMBL8085
DB00125,V,3.0,CHEMBL1485
DB00126,G,7.0,CHEMBL196
DB00127,No ATC Code,5.0,CHEMBL23194
DB00128,No ATC Code,5.0,CHEMBL274323
DB00129,A,6.0,CHEMBL446143
DB00130,A,6.0,CHEMBL930
DB00131,No ATC Code,5.0,CHEMBL752
DB00132,No ATC Code,5.0,CHEMBL8739
DB00133,No ATC Code,5.0,CHEMBL11298
DB00134,V,3.0,CHEMBL42336
DB00135,No ATC Code,5.0,CHEMBL925
DB00136,D,9.0,CHEMBL846
DB00137,No ATC Code,5.0,CHEMBL173929
DB00138,No ATC Code,5.0,CHEMBL590540
DB00139,No ATC Code,5.0,CHEMBL576
DB00140,A,6.0,CHEMBL1534
DB00141,No ATC Code,5.0,CHEMBL447878
DB00142,A,6.0,CHEMBL575060
DB00143,V,3.0,CHEMBL1543
DB00144,No ATC Code,5.0,CHEMBL4297669
DB00145,B,0.0,CHEMBL773
DB00146,A,6.0,CHEMBL1040
DB00147,No ATC Code,5.0,CHEMBL102970
DB00148,No ATC Code,5.0,CHEMBL283800
DB00149,No ATC Code,5.0,CHEMBL291962
DB00150,N,11.0,CHEMBL54976
