DrugBank ID,target,group
DB03088,BE0002942,0.0
DB03088,BE0001671,0.0
DB03088,BE0002941,0.0
DB03088,BE0002940,0.0
DB03088,BE0002939,0.0
DB03088,BE0002913,0.0
DB03088,BE0002802,0.0
DB03088,BE0001181,0.0
DB03088,BE0004492,0.0
DB03088,BE0003872,0.0
DB03088,BE0004439,0.0
DB03088,BE0004457,0.0
DB03088,BE0001329,0.0
DB03088,BE0002639,0.0
DB03088,BE0000163,0.0
DB03088,BE0004465,0.0
DB04701,BE0001189,0.0
DB03088,BE0004464,0.0
DB00399,BE0000776,1.0
DB00399,BE0003570,1.0
DB00495,BE0002449,2.0
DB00495,BE0004853,2.0
DB01956,BE0001384,3.0
DB01956,BE0001392,3.0
DB02659,BE0003988,4.0
DB04348,BE0001967,4.0
DB02659,BE0003999,4.0
DB02659,BE0003996,4.0
DB02659,BE0003995,4.0
DB02659,BE0003994,4.0
DB02659,BE0003993,4.0
DB02659,BE0003992,4.0
DB04348,BE0004523,4.0
DB02659,BE0003991,4.0
DB02659,BE0003990,4.0
DB02659,BE0003989,4.0
DB02659,BE0001033,4.0
DB02659,BE0003987,4.0
DB02659,BE0003997,4.0
DB02659,BE0000465,4.0
DB02659,BE0002088,4.0
DB02659,BE0003986,4.0
DB02659,BE0002705,4.0
DB02659,BE0001967,4.0
DB02659,BE0003385,4.0
DB02659,BE0000335,4.0
DB06777,BE0001777,4.0
DB02659,BE0001392,4.0
DB00943,BE0004853,5.0
DB04898,BE0000048,6.0
DB00682,BE0000713,7.0
DB01822,BE0001304,8.0
DB02142,BE0001510,9.0
DB02209,BE0000404,9.0
DB00165,BE0000042,9.0
DB02142,BE0001512,9.0
DB02142,BE0001481,9.0
DB02142,BE0001509,9.0
DB02142,BE0001465,9.0
DB02142,BE0001561,9.0
DB02142,BE0001344,9.0
DB02142,BE0000721,9.0
DB02142,BE0000273,9.0
DB02142,BE0001396,9.0
DB02209,BE0001540,9.0
DB00361,BE0000143,10.0
DB00309,BE0000026,11.0
DB00541,BE0000143,12.0
DB00541,BE0001391,12.0
DB00570,BE0003712,13.0
DB00570,BE0003711,13.0
DB00570,BE0000143,13.0
DB00570,BE0001340,13.0
DB00570,BE0003713,13.0
DB00570,BE0001040,13.0
DB00661,BE0000090,14.0
DB00661,BE0000303,14.0
DB00661,BE0002357,14.0
DB00661,BE0002356,14.0
DB00661,BE0002226,14.0
DB00661,BE0000483,14.0
DB00661,BE0002355,14.0
DB00661,BE0002359,14.0
DB00661,BE0000197,14.0
DB00661,BE0002354,14.0
DB00661,BE0000430,14.0
DB00661,BE0000012,14.0
DB00661,BE0000356,14.0
DB00661,BE0000749,14.0
DB00661,BE0000708,14.0
DB00661,BE0002358,14.0
DB00285,BE0000486,15.0
DB00285,BE0000647,15.0
DB06700,BE0000486,15.0
DB00285,BE0000749,15.0
DB06700,BE0000749,15.0
DB04879,BE0000023,16.0
DB04879,BE0000029,16.0
DB04879,BE0000369,16.0
DB00177,BE0000062,17.0
DB00313,BE0000573,18.0
DB00313,BE0004901,18.0
DB00313,BE0000881,18.0
DB00313,BE0002366,18.0
DB00313,BE0000152,18.0
DB00313,BE0000253,18.0
DB00313,BE0000162,18.0
DB00580,BE0000262,19.0
DB04242,BE0001523,20.0
DB04242,BE0002575,20.0
DB04242,BE0001507,20.0
