chembl_id,puchem_id
CHEMBL.COMPOUND:CHEMBL1201629,PUBCHEM.COMPOUND:24839622
CHEMBL.COMPOUND:CHEMBL2108184,PUBCHEM.COMPOUND:17397714
CHEMBL.COMPOUND:CHEMBL3833342,PUBCHEM.COMPOUND:131801471
CHEMBL.COMPOUND:CHEMBL1201558,PUBCHEM.COMPOUND:71306834
CHEMBL.COMPOUND:CHEMBL2108709,PUBCHEM.COMPOUND:75007581
CHEMBL.COMPOUND:CHEMBL2103749,PUBCHEM.COMPOUND:16129704
CHEMBL.COMPOUND:CHEMBL1201836,PUBCHEM.COMPOUND:8254
CHEMBL.COMPOUND:CHEMBL1201540,PUBCHEM.COMPOUND:118984375
CHEMBL.COMPOUND:CHEMBL1201661,PUBCHEM.COMPOUND:16220016
CHEMBL.COMPOUND:CHEMBL1201619,PUBCHEM.COMPOUND:16130295
CHEMBL.COMPOUND:CHEMBL1201497,PUBCHEM.COMPOUND:118984454
CHEMBL.COMPOUND:CHEMBL1201666,PUBCHEM.COMPOUND:118856773
CHEMBL.COMPOUND:CHEMBL2108724,PUBCHEM.COMPOUND:134612760
CHEMBL.COMPOUND:CHEMBL2108222,PUBCHEM.COMPOUND:71586929
CHEMBL.COMPOUND:CHEMBL1201496,PUBCHEM.COMPOUND:118984445
CHEMBL.COMPOUND:CHEMBL2146133,PUBCHEM.COMPOUND:9568613
CHEMBL.COMPOUND:CHEMBL3545412,PUBCHEM.COMPOUND:11526038
CHEMBL.COMPOUND:CHEMBL1237022,PUBCHEM.COMPOUND:10150081
CHEMBL.COMPOUND:CHEMBL1201618,PUBCHEM.COMPOUND:16132283
CHEMBL.COMPOUND:CHEMBL4297741,PUBCHEM.COMPOUND:126961379
CHEMBL.COMPOUND:CHEMBL1592101,PUBCHEM.COMPOUND:16682999
CHEMBL.COMPOUND:CHEMBL1201657,PUBCHEM.COMPOUND:22833565
CHEMBL.COMPOUND:CHEMBL1201463,PUBCHEM.COMPOUND:5284371
CHEMBL.COMPOUND:CHEMBL1201461,PUBCHEM.COMPOUND:5360696
CHEMBL.COMPOUND:CHEMBL3301572,PUBCHEM.COMPOUND:131801471
CHEMBL.COMPOUND:CHEMBL1742994,PUBCHEM.COMPOUND:117723179
CHEMBL.COMPOUND:CHEMBL1201644,PUBCHEM.COMPOUND:118984375
CHEMBL.COMPOUND:CHEMBL1201536,PUBCHEM.COMPOUND:89594
CHEMBL.COMPOUND:CHEMBL3545262,PUBCHEM.COMPOUND:91668186
CHEMBL.COMPOUND:CHEMBL2107869,PUBCHEM.COMPOUND:118984462
CHEMBL.COMPOUND:CHEMBL1201662,PUBCHEM.COMPOUND:137528228
CHEMBL.COMPOUND:CHEMBL1120,PUBCHEM.COMPOUND:16682734
CHEMBL.COMPOUND:CHEMBL1201668,PUBCHEM.COMPOUND:71308561
CHEMBL.COMPOUND:CHEMBL1201692,PUBCHEM.COMPOUND:62819
CHEMBL.COMPOUND:CHEMBL457748,PUBCHEM.COMPOUND:15942005
CHEMBL.COMPOUND:CHEMBL1201613,PUBCHEM.COMPOUND:16136701
CHEMBL.COMPOUND:CHEMBL3301581,PUBCHEM.COMPOUND:76943386
CHEMBL.COMPOUND:CHEMBL1201520,PUBCHEM.COMPOUND:62819
CHEMBL.COMPOUND:CHEMBL1743082,PUBCHEM.COMPOUND:166596981
CHEMBL.COMPOUND:CHEMBL4297770,PUBCHEM.COMPOUND:121493436
CHEMBL.COMPOUND:CHEMBL2218919,PUBCHEM.COMPOUND:11528249
CHEMBL.COMPOUND:CHEMBL3545188,PUBCHEM.COMPOUND:118753638
CHEMBL.COMPOUND:CHEMBL1201837,PUBCHEM.COMPOUND:118984459
CHEMBL.COMPOUND:CHEMBL1201573,PUBCHEM.COMPOUND:146069
CHEMBL.COMPOUND:CHEMBL4298062,PUBCHEM.COMPOUND:154562176
CHEMBL.COMPOUND:CHEMBL2109399,PUBCHEM.COMPOUND:166596981
CHEMBL.COMPOUND:CHEMBL4594265,PUBCHEM.COMPOUND:156323004
CHEMBL.COMPOUND:CHEMBL1201627,PUBCHEM.COMPOUND:118984375
CHEMBL.COMPOUND:CHEMBL2108336,PUBCHEM.COMPOUND:90472060
CHEMBL.COMPOUND:CHEMBL3544989,PUBCHEM.COMPOUND:121494123
CHEMBL.COMPOUND:CHEMBL1743048,PUBCHEM.COMPOUND:14160522
CHEMBL.COMPOUND:CHEMBL3707276,PUBCHEM.COMPOUND:119058036
CHEMBL.COMPOUND:CHEMBL2111290,PUBCHEM.COMPOUND:154824087
CHEMBL.COMPOUND:CHEMBL5095052,PUBCHEM.COMPOUND:126480325
CHEMBL.COMPOUND:CHEMBL1201649,PUBCHEM.COMPOUND:23667301
CHEMBL.COMPOUND:CHEMBL2097081,PUBCHEM.COMPOUND:11963622
CHEMBL.COMPOUND:CHEMBL4297750,PUBCHEM.COMPOUND:91827367
CHEMBL.COMPOUND:CHEMBL2109484,PUBCHEM.COMPOUND:166596981
CHEMBL.COMPOUND:CHEMBL3989924,PUBCHEM.COMPOUND:76966897
CHEMBL.COMPOUND:CHEMBL1201568,PUBCHEM.COMPOUND:70683024
CHEMBL.COMPOUND:CHEMBL4297566,PUBCHEM.COMPOUND:131842141
CHEMBL.COMPOUND:CHEMBL1237026,PUBCHEM.COMPOUND:154824087
CHEMBL.COMPOUND:CHEMBL2108752,PUBCHEM.COMPOUND:56603655
CHEMBL.COMPOUND:CHEMBL1743079,PUBCHEM.COMPOUND:155801574
CHEMBL.COMPOUND:CHEMBL1201664,PUBCHEM.COMPOUND:118984445
CHEMBL.COMPOUND:CHEMBL1201621,PUBCHEM.COMPOUND:16132356
CHEMBL.COMPOUND:CHEMBL3990033,PUBCHEM.COMPOUND:126480325
CHEMBL.COMPOUND:CHEMBL1201513,PUBCHEM.COMPOUND:22833565
CHEMBL.COMPOUND:CHEMBL1201506,PUBCHEM.COMPOUND:168322462
CHEMBL.COMPOUND:CHEMBL1201488,PUBCHEM.COMPOUND:16158474
CHEMBL.COMPOUND:CHEMBL4297819,PUBCHEM.COMPOUND:86278347
CHEMBL.COMPOUND:CHEMBL4297537,PUBCHEM.COMPOUND:121493436
CHEMBL.COMPOUND:CHEMBL3544994,PUBCHEM.COMPOUND:121494123
CHEMBL.COMPOUND:CHEMBL1201570,PUBCHEM.COMPOUND:90470007
CHEMBL.COMPOUND:CHEMBL1201631,PUBCHEM.COMPOUND:118984375
CHEMBL.COMPOUND:CHEMBL4297839,PUBCHEM.COMPOUND:163285897
CHEMBL.COMPOUND:CHEMBL4650299,PUBCHEM.COMPOUND:22833565
