run,fold,method,precision,recall,accuracy,f1,average_precision
1,0,XGBoost,1.0,0.3636686811233559,0.3636686811233559,0.5333680917622524,1.0
1,1,XGBoost,1.0,0.6144824069352371,0.6144824069352371,0.7612128869235628,1.0
1,2,XGBoost,1.0,0.7134251290877797,0.7134251290877797,0.8327473631341035,1.0
1,3,XGBoost,0.016,0.8571428571428571,0.7031688728439631,0.031413612565445025,0.0907060503184209
1,4,XGBoost,0.0,0.0,0.8550335570469799,0.0,-0.0
1,5,XGBoost,0.0,0.0,0.8816793893129771,0.0,-0.0
1,6,XGBoost,0.0,0.0,0.8638689866939611,0.0,-0.0
1,7,XGBoost,0.0,0.0,0.8802083333333334,0.0,-0.0
1,8,XGBoost,0.0,0.0,0.9512195121951219,0.0,-0.0
1,9,XGBoost,0.0,0.0,0.8832116788321168,0.0,-0.0
1,10,XGBoost,0.0,0.0,0.8701298701298701,0.0,-0.0
1,11,XGBoost,0.0,0.0,0.8880208333333334,0.0,-0.0
1,12,XGBoost,0.0,0.0,0.7333333333333333,0.0,-0.0
1,13,XGBoost,0.0,0.0,0.9090909090909091,0.0,-0.0
1,14,XGBoost,0.0,0.0,0.9315068493150684,0.0,-0.0
1,15,XGBoost,0.0,0.0,0.7333333333333333,0.0,-0.0
