,0,1
0,CHEMBL.COMPOUND:CHEMBL1200531,UniProtKB:P35372
1,CHEMBL.COMPOUND:CHEMBL1201565,UniProtKB:P19235
2,CHEMBL.COMPOUND:CHEMBL4297436,UniProtKB:Q96EB6
3,CHEMBL.COMPOUND:CHEMBL1201488,UniProtKB:P47872
4,CHEMBL.COMPOUND:CHEMBL4297644,UniProtKB:O00311
5,CHEMBL.COMPOUND:CHEMBL3545413,UniProtKB:P00519
6,CHEMBL.COMPOUND:CHEMBL2017179,UniProtKB:P11597
7,CHEMBL.COMPOUND:CHEMBL1201219,UniProtKB:P07510
8,CHEMBL.COMPOUND:CHEMBL1201219,UniProtKB:Q07001
9,CHEMBL.COMPOUND:CHEMBL1201219,UniProtKB:P11230
10,CHEMBL.COMPOUND:CHEMBL1201219,UniProtKB:Q04844
11,CHEMBL.COMPOUND:CHEMBL1201219,UniProtKB:P02708
12,CHEMBL.COMPOUND:CHEMBL978,UniProtKB:P20309
13,CHEMBL.COMPOUND:CHEMBL3989410,UniProtKB:P35354
14,CHEMBL.COMPOUND:CHEMBL3989410,UniProtKB:P23219
15,CHEMBL.COMPOUND:CHEMBL2103842,UniProtKB:P00533
16,CHEMBL.COMPOUND:CHEMBL2103842,UniProtKB:P04626
17,CHEMBL.COMPOUND:CHEMBL1200986,UniProtKB:P21917
18,CHEMBL.COMPOUND:CHEMBL1200986,UniProtKB:P35462
19,CHEMBL.COMPOUND:CHEMBL1200986,UniProtKB:P28223
20,CHEMBL.COMPOUND:CHEMBL1200986,UniProtKB:P14416
21,CHEMBL.COMPOUND:CHEMBL1201558,UniProtKB:P48551
22,CHEMBL.COMPOUND:CHEMBL1201558,UniProtKB:P17181
23,CHEMBL.COMPOUND:CHEMBL1200987,UniProtKB:P30556
24,CHEMBL.COMPOUND:CHEMBL413,UniProtKB:P62942
25,CHEMBL.COMPOUND:CHEMBL1200721,UniProtKB:Q92731
26,CHEMBL.COMPOUND:CHEMBL1200807,UniProtKB:P06401
27,CHEMBL.COMPOUND:CHEMBL414357,UniProtKB:P43220
28,CHEMBL.COMPOUND:CHEMBL1512580,UniProtKB:P08908
29,CHEMBL.COMPOUND:CHEMBL1201753,UniProtKB:P04035
30,CHEMBL.COMPOUND:CHEMBL2108078,UniProtKB:Q03431
31,CHEMBL.COMPOUND:CHEMBL1980297,UniProtKB:Q9H3Y6
32,CHEMBL.COMPOUND:CHEMBL1980297,UniProtKB:P42685
33,CHEMBL.COMPOUND:CHEMBL1980297,UniProtKB:P07948
34,CHEMBL.COMPOUND:CHEMBL1980297,UniProtKB:P06241
35,CHEMBL.COMPOUND:CHEMBL1980297,UniProtKB:P35916
36,CHEMBL.COMPOUND:CHEMBL1980297,UniProtKB:P08631
37,CHEMBL.COMPOUND:CHEMBL1980297,UniProtKB:O14965
38,CHEMBL.COMPOUND:CHEMBL1980297,UniProtKB:P09769
39,CHEMBL.COMPOUND:CHEMBL1980297,UniProtKB:P12931
40,CHEMBL.COMPOUND:CHEMBL1980297,UniProtKB:P17948
41,CHEMBL.COMPOUND:CHEMBL1980297,UniProtKB:P09619
42,CHEMBL.COMPOUND:CHEMBL1980297,UniProtKB:P06239
43,CHEMBL.COMPOUND:CHEMBL1980297,UniProtKB:P35968
44,CHEMBL.COMPOUND:CHEMBL1980297,UniProtKB:P51451
45,CHEMBL.COMPOUND:CHEMBL1980297,UniProtKB:P07947
46,CHEMBL.COMPOUND:CHEMBL1980297,UniProtKB:Q9UQB9
47,CHEMBL.COMPOUND:CHEMBL1980297,UniProtKB:Q96GD4
48,CHEMBL.COMPOUND:CHEMBL1980297,UniProtKB:P16234
49,CHEMBL.COMPOUND:CHEMBL392149,UniProtKB:P30542
50,CHEMBL.COMPOUND:CHEMBL1068,UniProtKB:P35498
51,CHEMBL.COMPOUND:CHEMBL1068,UniProtKB:Q9Y5Y9
52,CHEMBL.COMPOUND:CHEMBL1068,UniProtKB:Q99250
53,CHEMBL.COMPOUND:CHEMBL1068,UniProtKB:Q14524
54,CHEMBL.COMPOUND:CHEMBL1068,UniProtKB:Q9NY46
