,chembl_compound,uniprot_id,drugbankId
0,CHEMBL.COMPOUND:CHEMBL1200682,UniProtKB:Q9UBS5,DB09072
1,CHEMBL.COMPOUND:CHEMBL1200682,UniProtKB:O75899,DB09072
2,CHEMBL.COMPOUND:CHEMBL3545096,UniProtKB:P42345,
3,CHEMBL.COMPOUND:CHEMBL3545096,UniProtKB:P48736,
4,CHEMBL.COMPOUND:CHEMBL3545096,UniProtKB:P42336,
5,CHEMBL.COMPOUND:CHEMBL3545096,UniProtKB:Q92569,
6,CHEMBL.COMPOUND:CHEMBL3545096,UniProtKB:Q8WYR1,
7,CHEMBL.COMPOUND:CHEMBL3545096,UniProtKB:O00459,
8,CHEMBL.COMPOUND:CHEMBL3545096,UniProtKB:P42338,
9,CHEMBL.COMPOUND:CHEMBL3545096,UniProtKB:P27986,
10,CHEMBL.COMPOUND:CHEMBL3545096,UniProtKB:O00329,
11,CHEMBL.COMPOUND:CHEMBL1364144,UniProtKB:P04150,
12,CHEMBL.COMPOUND:CHEMBL895,UniProtKB:P41143,DB00844
13,CHEMBL.COMPOUND:CHEMBL895,UniProtKB:P41145,DB00844
14,CHEMBL.COMPOUND:CHEMBL895,UniProtKB:P35372,DB00844
15,CHEMBL.COMPOUND:CHEMBL485629,UniProtKB:P27815,DB13029
16,CHEMBL.COMPOUND:CHEMBL485629,UniProtKB:Q08493,DB13029
17,CHEMBL.COMPOUND:CHEMBL485629,UniProtKB:Q07343,DB13029
18,CHEMBL.COMPOUND:CHEMBL485629,UniProtKB:Q08499,DB13029
19,CHEMBL.COMPOUND:CHEMBL1201184,UniProtKB:P35346,
20,CHEMBL.COMPOUND:CHEMBL1201184,UniProtKB:P30874,
21,CHEMBL.COMPOUND:CHEMBL1123,UniProtKB:P20309,DB00804
22,CHEMBL.COMPOUND:CHEMBL1123,UniProtKB:P11229,DB00804
23,CHEMBL.COMPOUND:CHEMBL1029,UniProtKB:Q16739,DB00419
24,CHEMBL.COMPOUND:CHEMBL2448612,UniProtKB:P25100,
25,CHEMBL.COMPOUND:CHEMBL2448612,UniProtKB:P35348,
26,CHEMBL.COMPOUND:CHEMBL2448612,UniProtKB:P08913,
27,CHEMBL.COMPOUND:CHEMBL2448612,UniProtKB:P35368,
28,CHEMBL.COMPOUND:CHEMBL2448612,UniProtKB:P28221,
29,CHEMBL.COMPOUND:CHEMBL2448612,UniProtKB:P18089,
30,CHEMBL.COMPOUND:CHEMBL2448612,UniProtKB:P18825,
31,CHEMBL.COMPOUND:CHEMBL189,UniProtKB:Q14432,DB00235
32,CHEMBL.COMPOUND:CHEMBL1096979,UniProtKB:P20711,DB12783
33,CHEMBL.COMPOUND:CHEMBL3989932,UniProtKB:P30556,
34,CHEMBL.COMPOUND:CHEMBL1201129,UniProtKB:P26358,DB01262
35,CHEMBL.COMPOUND:CHEMBL1201129,UniProtKB:Q9Y6K1,DB01262
36,CHEMBL.COMPOUND:CHEMBL830,UniProtKB:P11926,DB06243
37,CHEMBL.COMPOUND:CHEMBL2403108,UniProtKB:Q9HC35,DB09063
38,CHEMBL.COMPOUND:CHEMBL2403108,UniProtKB:Q9UM73,DB09063
39,CHEMBL.COMPOUND:CHEMBL2403108,UniProtKB:P06748,DB09063
40,CHEMBL.COMPOUND:CHEMBL3545010,UniProtKB:P14416,
41,CHEMBL.COMPOUND:CHEMBL3644587,UniProtKB:O95271,DB16063
42,CHEMBL.COMPOUND:CHEMBL3644587,UniProtKB:P09874,DB16063
43,CHEMBL.COMPOUND:CHEMBL3644587,UniProtKB:Q9H2K2,DB16063
44,CHEMBL.COMPOUND:CHEMBL3644587,UniProtKB:Q9UGN5,DB16063
45,CHEMBL.COMPOUND:CHEMBL2105721,UniProtKB:P55211,DB12720
46,CHEMBL.COMPOUND:CHEMBL2105721,UniProtKB:P29466,DB12720
47,CHEMBL.COMPOUND:CHEMBL2105721,UniProtKB:Q14790,DB12720
48,CHEMBL.COMPOUND:CHEMBL525610,UniProtKB:Q03431,DB06285
49,CHEMBL.COMPOUND:CHEMBL4297613,UniProtKB:Q96RI1,DB15168
50,CHEMBL.COMPOUND:CHEMBL1059,UniProtKB:P54289,DB00230
51,CHEMBL.COMPOUND:CHEMBL508102,UniProtKB:P07202,DB00389
52,CHEMBL.COMPOUND:CHEMBL3545186,UniProtKB:Q03181,DB16169
53,CHEMBL.COMPOUND:CHEMBL1034,UniProtKB:P35354,
54,CHEMBL.COMPOUND:CHEMBL1034,UniProtKB:P23219,
55,CHEMBL.COMPOUND:CHEMBL1201540,UniProtKB:P06213,
56,CHEMBL.COMPOUND:CHEMBL1186579,UniProtKB:P35372,DB06800
57,CHEMBL.COMPOUND:CHEMBL708,UniProtKB:P14416,DB00246
58,CHEMBL.COMPOUND:CHEMBL708,UniProtKB:P28335,DB00246
59,CHEMBL.COMPOUND:CHEMBL708,UniProtKB:P28223,DB00246
60,CHEMBL.COMPOUND:CHEMBL79261,UniProtKB:P08908,DB16040
61,CHEMBL.COMPOUND:CHEMBL578390,UniProtKB:P27695,
62,CHEMBL.COMPOUND:CHEMBL505,UniProtKB:P35367,DB01114
63,CHEMBL.COMPOUND:CHEMBL2105646,UniProtKB:P32297,DB05645
64,CHEMBL.COMPOUND:CHEMBL2105646,UniProtKB:P30926,DB05645
65,CHEMBL.COMPOUND:CHEMBL2110824,UniProtKB:P30968,
66,CHEMBL.COMPOUND:CHEMBL2105675,UniProtKB:P02766,
67,CHEMBL.COMPOUND:CHEMBL3697617,UniProtKB:P21918,DB14899
68,CHEMBL.COMPOUND:CHEMBL3697617,UniProtKB:P21728,DB14899
69,CHEMBL.COMPOUND:CHEMBL3301626,UniProtKB:P41594,DB11833
70,CHEMBL.COMPOUND:CHEMBL1269025,UniProtKB:P00742,DB09075
71,CHEMBL.COMPOUND:CHEMBL75133,UniProtKB:P28702,DB11806
